,rule_title,rule_text
2417,latter,"Use only in contrast with former. Saying an item is “the latter” of more than two things is not only annoying but wrong. In such cases, it should be “the last” launderette but Stephen Frears’ 1985 film was My Beautiful Laundrette"
2418,Sergei Lavrov,not Sergey Lavrov is the Russian foreign minister
2419,law lords,"formerly “lords of appeal in ordinary”, they became justices of the supreme court when it was established in 2009.

They are referred to as Lord Sumption, Lady Hale etc (and not “Lord Justice” or “Lady Justice”, titles applied to court of appeal judges).

Note that the former Lord Justice Leveson is now Sir Brian Leveson. He is president of the Queen’s Bench division of the high court"
2420,lawsuit,
2421,lay bare,"(revealed) past tense laid, not lay: so “almost a decade after the genome project lay bare ...” should have read “laid bare”"
2422,layby,plural laybys
2423,layperson,avoid layman
2424,lay off,"does not mean to sack or make redundant, but to send workers home on part pay because of a temporary lack of demand for their product"
2425,lay waste,"a hurricane can lay waste an island, or lay an island waste, but it does not lay it to waste or lay waste to it (the word comes from the same root as devastate)"
2426,lbw,leg before wicket
2427,lc,abbreviation for lowercase
2428,Lea or Lee?,the river Lea flows to the Thames; the Lee Navigation canal incorporates part of it; the Lee Valley park is the site for much of the 2012 Olympic development
2429,leach or leech?,"leach (verb): percolate, remove with a percolating liquid leech (noun): a bloodsucking worm, or used figuratively to describe, say, bankers"
2430,Lead Belly,"(1888-1949) US musician, real name Huddie Ledbetter"
2431,leader of the house,or leader of the Commons
2432,Learjet,
2433,learned,"not learnt, unless you are writing old-fashioned poetry (he learned his tables, a message well learned, etc)"
2434,learning disabilities,"rather than learning difficulties, unless referring to education"
2435,least bad,"is the least bad option, rather than “least worst”"
2436,"leave, leaver, leave campaign","for those in favour of the UK leaving the EU, note lower case; see remain"
2437,Lebanon,no definite article
2438,"le Carré, John",retain the lower case l on subsequent mentions
2439,Le Corbusier,"Swiss-French architect (1887-1955), real name Charles-Édouard Jeanneret-Gris"
2440,led or lead?,"In all but the present tense, the verb form is led. This does not stop otherwise normal, sensible people writing things like “he was lead to the slaughter” or “the singing will be lead by Cliff Richard”. If this is just a slip of the keyboard, it’s a frequent slip"
2441,"the left, left wing, leftwinger, lefty, lefties, hard left, soft left, old left","nouns; leftwing adjective left field, left-field two words as a noun: “this idea comes out of left field” hyphenated as an adjective: “a left-field idea”"
2442,legal highs,"are now illegal in the UK, which makes them novel psychoactive substances (NPSs) , or for variation you could call them formerly legal highs"
2443,Legal Services Commission,responsible for legal aid in England and Wales; in Scotland it is the Scottish Legal Aid Board
2444,legal terms,"In England and Wales, in camera is now known as in secret and in chambers in private; a writ is a claim form and a plaintiff a claimant; leave to appeal is permission to appeal. Since the Children Act 1989, access has been known as contact and custody is known as residence; do not use the older terms"
2445,"legend, legendary","Johnny Cash, say, may be a country music legend, but he is not legendary; the adjective is better reserved for mythical figures or events that have perhaps grown exaggerated in the telling: King Arthur was a legendary figure, Oliver Reed’s alcohol consumption was legendary, etc"
2446,Légion d’honneur,
2447,legionnaires’ disease,named after an outbreak at a conference of American Legionnaires
2448,"Leibovitz, Annie",US photographer
2449,lent,"past tense of lend; we sometimes misspell it as “leant” as in “a gritty drama, leant added authenticity by Jean Tournier’s monochrome photography ... “"
2450,Leonardo da Vinci,Leonardo on second mention; “da Vinci” refers to the Vinci district near Florence – it is not his surname
2451,lepers,"a term now regarded as inappropriate and stigmatising; say people with leprosy or, if they are being treated, leprosy patients"
2452,Lesbos,not Lesvos
2453,lese-majesty,
2454,less or fewer?,"less means smaller in quantity, eg less money; fewer means smaller in number, eg fewer coins.

This is not just about supermarket signs that say “7 items or less”: it can make a real difference in meaning. These statements all say something different:

For less bad things to happen, fewer bad people need to be involved. For fewer bad things to happen, less bad people need to be involved. For fewer bad things to happen, fewer bad people need to be involved. For less bad things to happen, less bad people need to be involved.

Note also the difference between “do you have less able children in your class?” (children who are less able) and “do you have fewer able children in your class?” (not so many able ones)"
2455,"letdown, letup",nouns
2456,"let down, let up",verbs
2457,level crossing,
2458,levelling up,"no need for quotation marks, or for a hyphen in phrases such as the levelling up secretary, levelling up policies"
2459,"Leveson, Sir Brian",president of the Queen’s Bench Division; no longer Lord Justice Leveson (and he never was “Lord Leveson”)
2460,Levi’s,jeans; the company is Levi Strauss
2461,"Lévi-Strauss, Claude",(1908-2009) French anthropologist
2462,"Lévy, Bernard-Henri",French philosopher
2463,LGBTQ+,"preferred abbreviation for lesbian, gay, bisexual, transgender, queer and other identities; it is not normally necessary to spell it out"
2464,"liaise, liaison",
2465,Lib Dems,for Liberal Democrats after first mention and in headlines
2466,libra,"lower case for the proposed currency, which is overseen by the Libra Association"
2467,libretto,plural librettos
2468,licence or license?,"In British English, licence is the noun and license the verb. So you need a licence to run a licensed bar, or you may need to visit the off-licence"
2469,Liechtenstein,
2470,lie,"(tell an untruth), past tense lied. lie (down), past tense lay: he lay there for an hour. lay (a table, an egg, put something down), past tense laid"
2471,lied,"German musical setting for a poem, plural lieder"
2472,Liège,but the adjective is Liégeois
2473,"lifeguard, lifejacket, lifelong, lifesize",
2474,lift,Do not use as a verb to mean increase; the headline “Bank should lift interest rate next month” suggests that the Bank is going to remove interest rates altogether
2475,lightbulb,
2476,lightening or lightning?,"Your hair may be lightening in colour, but that electrical stuff in the sky is lightning"
2477,lighthearted,
2478,lightsaber,as in the official Jedi spelling
2479,light year,"a measure of distance, not time; Buzz Lightyear"
2480,likable,not likeable
2481,like or as if?,"Using like as a preposition (“ride like the wind”) is uncontroversial. Using it as a conjunction, introducing a clause that contains a verb (“ride like you’re riding a motorbike”, “he behaved like he was drunk”) will annoy many readers.

The simple way to keep everyone happy is to use like when the verb is followed by a noun (“he ran like a gazelle”) and as if when the verb is followed by a clause (“he ran as if he had seen a ghost”). Ogden Nash pointed out that it’s As You Like It, not Like You Like It, although Shakespeare in fact did use like as a conjunction"
2482,like or such as?,"“Cities like Manchester are wonderful” suggests the writer has in mind, say, Sheffield or Birmingham; it’s clearer to say “cities such as Manchester” if that is what she means.

Do not, however, automatically change “like” to “such as” - the following appeared in the paper: “He is not a celebrity, such as Jesse Ventura, the former wrestler ... “"
2483,likely,"In the UK, if not the US, using likely in such contexts as “they will likely win the game” sounds unnatural at best; there is no good reason to use it instead of probably. If you really must do so, however, just put very, quite or most in front of it and all will, very likely, be well."
2484,lilliputian,
2485,lilo,something you take to the beach to lie or float on; LiLo Lindsay Lohan
2486,Limited,Ltd is preferable
2487,limpid,"means clear or transparent, not limp"
2488,linchpin,not lynchpin
2489,"lineup, lineout",(as nouns)
2490,link,(noun) takes the reader to a related reference on the Guardian or the web; (verb) to insert such a reference into an article or blog
2491,LinkedIn,social networking site aimed at business people
2492,"lip-sync, lip-syncing",
2493,liquefy,not liquify
2494,liquorice,not licorice
2495,listed buildings,"In England and Wales, Grade I-listed (note cap G, roman numeral I) buildings are of exceptional interest; Grade II* are particularly important buildings of more than special interest; Grade II are of special interest, warranting every effort to preserve them.

In Scotland and Northern Ireland these categories are replaced by the more logical Grade A, Grade B and Grade C"
2496,lists,1 Similar to bullet points. 2 Like this. 3 With no full points after the number.
2497,literally,"a term used, particularly by sports commentators, to denote an event that is not literally true, as in “Manchester City literally came back from the dead” See ironic, ironically"
